tweet_id,retweet_count,favorite_count
854482394044301312,7381,30581
854365224396361728,5033,19700
865718153858494464,5840,26172
861383897657036800,11244,37093
861005113778896900,4005,17207
860177593139703809,32525,0
857263160327368704,4801,20690
856282028240666624,6715,28661
855860136149123072,1104,5108
855851453814013952,18806,47127
854120357044912130,8051,33323
869596645499047938,3236,16215
854010172552949760,3367,16887
853760880890318849,6232,29906
853639147608842240,10935,36527
853299958564483072,3830,16254
852936405516943360,2180,0
852912242202992640,1984,9478
852672615818899456,2313,15658
852553447878664193,3783,17191
852311364735569921,10687,34770
852226086759018497,7371,21000
852189679701164033,1706,12028
851953902622658560,10423,0
851861385021730816,23,0
851464819735769094,7645,25521
851224888060895234,6193,21742
850753642995093505,10077,32744
850380195714523136,2827,13750
850333567704068097,362,3595
850145622816686080,4138,17224
850019790995546112,5315,21590
849776966551130114,8259,32148
849668094696017920,5394,0
849412302885593088,3404,16760
849336543269576704,2052,12071
849051919805034497,9283,44791
848324959059550208,5007,26186
848213670039564288,814,8657
848212111729840128,3356,17301
847978865427394560,3554,0
847971574464610304,467,0
847962785489326080,5587,24861
847842811428974592,1469,5822
847617282490613760,457,7429
847606175596138505,3679,19861
847251039262605312,4671,21636
847157206088847362,6390,21195
847116187444137987,3484,22719
846874817362120707,4291,21301
846514051647705089,12691,47485
846505985330044928,3390,15028
846153765933735936,9900,33740
846139713627017216,10729,32718
846042936437604353,3145,16990
845812042753855489,9574,31145
845677943972139009,5227,26684
845459076796616705,Not Exist,Not Exist
845397057150107648,2002,8108
845306882940190720,5900,24798
845098359547420673,8413,0
844979544864018432,2834,14487
844973813909606400,3520,16099
844704788403113984,11336,41249
844580511645339650,3433,17536
844223788422217728,2401,14512
843981021012017153,3201,16070
843856843873095681,5081,22803
843604394117681152,3000,17992
843235543001513987,6647,22912
842892208864923648,Not Exist,Not Exist
842846295480000512,3928,16200
842765311967449089,1406,7199
842535590457499648,3840,19293
842163532590374912,6374,26132
842115215311396866,3315,14959
841833993020538882,16959,0
841680585030541313,8530,27359
841439858740625411,4054,13505
841314665196081154,5177,16969
841077006473256960,5830,24504
840761248237133825,1936,0
840728873075638272,17797,0
840698636975636481,3,195
840696689258311684,1089,13157
840632337062862849,1936,9604
840370681858686976,5024,17609
840268004936019968,6319,20612
839990271299457024,2534,14373
839549326359670784,8585,29479
839290600511926273,156,0
839239871831150596,7224,29132
838952994649550848,4397,21001
838921590096166913,2293,11969
838916489579200512,37,0
838831947270979586,12258,0
838561493054533637,1469,11692
838476387338051585,5329,24234
838201503651401729,11199,0
838150277551247360,359,1795
838085839343206401,0,148
838083903487373313,3481,18890
837820167694528512,8709,36678
837482249356513284,490,4133
837471256429613056,2559,13749
837366284874571778,5856,22664
837110210464448512,2658,17174
836989968035819520,2546,13654
836753516572119041,5105,20652
836677758902222849,2456,13533
836648853927522308,611,0
836397794269200385,30548,0
836380477523124226,3257,15800
836260088725786625,4744,22791
836001077879255040,4788,20528
835685285446955009,9082,0
835574547218894849,4020,19134
835536468978302976,1887,0
835309094223372289,23357,0
835297930240217089,3311,17597
835264098648616962,1887,8344
835246439529840640,81,2236
835172783151792128,6373,28063
835152434251116546,3366,24130
834931633769889797,1834,11645
834786237630337024,6049,22661
834574053763584002,2815,14742
834477809192075265,11844,0
834458053273591808,1859,10340
834209720923721728,5321,22160
834167344700198914,4028,16929
834089966724603904,2360,10804
834086379323871233,2458,14051
833863086058651648,2670,14420
833826103416520705,3823,16490
833732339549220864,242,0
833722901757046785,3558,22226
833479644947025920,2293,15984
833124694597443584,5394,21762
832998151111966721,2464,14321
832769181346996225,42,0
832757312314028032,4024,18132
832682457690300417,3274,12801
832645525019123713,579,3141
832636094638288896,3122,17089
832397543355072512,2482,12884
832369877331693569,3554,18485
832273440279240704,2604,12166
832215909146226688,6892,0
832215726631055365,10434,0
832088576586297345,2,72
832040443403784192,10832,0
832032802820481025,5197,19261
831939777352105988,6854,25885
831926988323639298,36,367
831911600680497154,7279,29825
831670449226514432,2021,11271
831650051525054464,2180,7742
831552930092285952,2558,9716
831322785565769729,1706,9889
831309418084069378,2714,12620
831262627380748289,2292,12836
830956169170665475,1682,8598
830583320585068544,18801,72198
830173239259324417,6375,0
830097400375152640,3360,10618
829878982036299777,5605,0
829861396166877184,2194,13226
829501995190984704,11844,34267
829449946868879360,2271,11319
829374341691346946,10423,37435
829141528400556032,8289,26497
829011960981237760,18126,57255
828801551087042563,3797,0
828770345708580865,6573,27634
828708714936930305,12541,39562
828650029636317184,1503,10283
828409743546925057,1283,6786
828408677031882754,1431,8262
828381636999917570,2486,13651
828376505180889089,1190,7995
828372645993398273,3271,13541
828361771580813312,191,2370
